text,philosopher,work,original_idx
"For lise in The Bold Chronicle of a Strange Marriage, the taste for housework stems from the exasperated desire to rule the universe, from a living exuberance, and from a will fordomination, which, for lack of an outlet, leads nowhere; it is also a challenge to time, the universe, life, men, and everything that exists:",Beauvoir,The Second Sex,351696
"That our entire sensibility is nothing but the confused representation of things, which contains solely that which pertains to them in them selves but only under a heap of marks and partial representations that we can never consciously separate from one another, is therefore a fal sification of the concept of sensibility and of appearance that renders a. is added in the second edition because of the addition of the further numbered para graphs through N) added at.",Kant,Critique Of Pure Reason,254589
"For this reason, whenever a wind egg is produced by any animal, the egg so forming has in it the parts of both sexes potentially, but has not the principle in question, so that it does not develop into a living creature, for this is introduced by the semen of the male.",Aristotle,Aristotle - Complete Works,63116
"they could only be removed by surgical interference: Pencils, sticks of sealing wax, cotton reels, hair pins (and in Italy very commonly the bone pins used in the hair), bodkins, knitting needles, crochet needles, needle cases, compasses, glass stoppers, candles, corks, tumblers, forks, tooth picks, toothbrushes, pomade pots (in a case recorded by Schroeder with a cockchafer inside, a makeshift substitute for the Japanese rin",Beauvoir,The Second Sex,350704
"Inasmuch as this externality is only in the abstract determinateness of being and is apprehended by consciousness, it is as mere objectivity and external life; within the idea, however, it remains in and for itself the totality of the concept, and science in the relation of divine cognition to nature.",Hegel,Science Of Logic,277012
"We may, perhaps, give a name to the distinction I mean, by calling the first kind of rules those which do assert that something actually is a duty rules of duty, and by calling the second kind those which recommend or condemn something not in the control of our wills ideal rules choosing this latter name because they can be said to inculcate a moral ideal something the attainment of which is not directly within the power of our wills.",Moore,Philosophical Studies,138094
"for it is the landmark of all landmarks it is to tend towards it as towards the natural abode of a certain peace or a certain joyfulness, just as, for me, to know where my hand is is to link up with that agile power which is for the moment dormant, but which I can take up and.",Merleau-Ponty,The Phenomenology Of Perception,223280
"But were one to admit even here this use of mediate knowledge against all appearances, this knowledge still implies that God considers what a man would do in such and such circumstances; and it always remains true that God could have placed him in other circumstances more favourable, and given him inward or outward succour capable of vanquishing the most abysmal wickedness existing in any soul.",Leibniz,Theodicy,112271
"As, therefore, that which is dry has less power to quench than that which is moist, so that which is drier is proportionately more capable of being burnt, one thing being more so than another, since the drier a thing is the more closely allied is it to heat; and the sea possesses both these qualities to a greater extent.",Aristotle,Aristotle - Complete Works,68818
"An illegitimate child in most civilizations is such a social and economic handicap for the unmarried woman that one sees young girls committing suicide when they know they are pregnant and unwed mothers cutting the throats of their newborns; such a risk constitutes a quite powerful sexual brake, making many young girls observe the prenuptial chastity prescribed by customs.",Beauvoir,The Second Sex,350350
