text,philosopher,work,original_idx
"It is sufficient to show that we are led to this idea of an intellectus archetypus by contrasting with it our discursive understanding that has need of images (intellectus ectypus) and noting the contingent character of a faculty of this form, and that this idea involves nothing self contradictory.",Kant,Critique Of Judgement,252991
"If we sacrifice everything to our own enjoyment, then this is entirely in order and is no more than an exercise of our good and justified right.",Fichte,The System Of Ethics,264624
"use, since it accords with his prophecy, that is to say, with his single mindedness (haploun) or truthfulness (these being the same thing), for all the Thessalians call this god 'Aploun'.",Plato,Plato - Complete Works,2680
Another kind employs only narration by the poet himself you find this most of all in dithyrambs.,Plato,Plato - Complete Works,23917
"Thus, socialist consciousness is something introduced into the proletarian class struggle from without (von Aussen Hineinge tragenes, and not something that arose within it spontaneously.",Lenin,Essential Works Of Lenin,304210
"That is why, when we are invited to go beyond a simplistic conception of Oedipus based on parental images, in order to define symbolic functions within a structure, it is in vain that the traditional daddy mommy are replaced by a mother function, a father function; we don't quite see what there is to gain by this, except for the founding of the universality of Oedipus beyond the variability of images; the fusing of desire even more strongly to law and prohibitions; and the pushing of the process of oedipalization of the unconscious to its limits.",Deleuze,Anti-Oedipus,214270
"This House will hardly believe it, but I tell them, that this traffic in human flesh was as well kept up, they were in effect as regularly sold to these Manchester manufacturers as slaves are sold to the cotton grower in the United States.",Marx,Capital,294052
"It is discussed at length by Forrest in The Sceptical Implications of Realism about Possible Worlds, presented at the August conference of the Australasian Association of Philosophy.",Lewis,Lewis - Papers,146404
In normal circumstances the amount of money required to satisfy the transactions motive and the precautionary motive is mainly a resultant of the general activity of the economic system and of the level of money income.,Keynes,"A General Theory Of Employment, Interest, And Money",324434
"We both, therefore, agree in this, that we perceive only sensible forms: but herein we differ you will have them to be empty appearances, I, real beings.",Berkeley,Three Dialogues,105698
"As it is their interest to sell the complete manufacture as dear, so it is to buy the materials as cheap as possible.",Smith,The Wealth Of Nations,315599
"This immediacy renders the first judgment a judgment of immediate existence; we can also call it a qualitative judgment, but only in so far as quality does not apply to the determinateness of being alone but also extends to the universality which, because of its simplicity, likewise has the form of immediacy.",Hegel,Science Of Logic,275278
"That is why there is a form of degeneration that constantly accompanies life and, throughout its entire duration, defines its confrontation with death: 'The idea of the alteration and lesion of parts of our organs by the very fact of their action is one that most authors have not deigned to consider'. '.",Foucault,The Birth Of The Clinic,187416
"The theft of a possession does not become a theft unless the thing stolen is a possession, unless it has acquired meaning and value through, at least, the consecration of a vow made in discourse.",Derrida,Writing And Difference,204160
"A cognition can ac cordingly be objectively philosophical and yet subjectively historical, as a cognition from data, or from what is given.",Kant,Critique Of Pure Reason,261785
"Now with a steadfast and wholehearted adherence to all these conditions, and with God's help, appoint three kings: first, my son, in double gratitude for my father's services and my own (as my father in his time saved the city from the barbarians, I have twice freed it from tyrants, as you yourselves can bear witness); secondly, him who has the same name as my father and is the son of Dionysius, in gratitude for the help he has just rendered your cause, as well as because of his upright character; for though he is the son of a tyrant, he is voluntarily liberating the city and gaining for himself and his house undying honor in place of an ephemeral and unjust tyranny.",Plato,Plato - Complete Works,36858
"There are several kinds of occupation, where we cannot be said to join our labour to the object we acquire:.",Hume,A Treatise Of Human Nature,101649
"There is no doubt that women are infinitely more passive, given to man, servile, and humiliated in Catholic countries, Italy, Spain, and France, than in the Protestant Scandinavian and Anglo Saxon ones.",Beauvoir,The Second Sex,350468
"It is from this period, according to the French antiquarians, that we are to date the institution of the magistrates and councils of cities in France.",Smith,The Wealth Of Nations,312674
"Its largest portion is fire, but it has portions of earth and air along with small amounts of all the rest.",Plato,Plato - Complete Works,35991
"Madness is only there, present and designated as an irrefutable self evident truth, as long as the consciousness that designates it has already rejected it, having defined itself in a relation of opposition towards it.",Foucault,History Of Madness,190307
"Women among themselves are pitiless; they foil, provoke, chase, attack, and lead each other on to the limits of abjection.",Beauvoir,The Second Sex,352134
"Pleasure is a property of a sensation or other mental occurrence, consisting in the fact that the occurrence in question either does not stimulate any voluntary or reflex movement, or, if it does, stimulates only such as tend to prolong the occurrence in question.",Russell,The Analysis Of Mind,130794
"Well then, is there demonstration of everything of which there is definition, or not?.",Aristotle,Aristotle - Complete Works,41937
"And here again, why does psychoanalysis reinforce the transcendent use that introduces exclusions and restrictions everywhere in the disjunctive network, and that makes the unconscious swing over into Oedipus?.",Deleuze,Anti-Oedipus,214197
"The whole of his book is a vindication of a working day of unrestricted length; that Parliament should forbid children of years to be exhausted by working hours a day, reminds his liberal soul of the darkest days of the middle ages.",Marx,Capital,296725
"For I notice that whenever the city lays its hands on one of its politicians because he does what's unjust, they resent it and complain indignantly that they're suffering terrible things.",Plato,Plato - Complete Works,19859
"To discover the nature of our the better, and to, discourse of them intelligibly, it will be convenient to distinguish them and that so we may not think (as perhaps usually is done) that they are exactly the images and resemblances of something inherent in the subject; most of those of sensation being in the mind no more the likeness of something existing without us, than the names that stand for them are the likeness of our ideas, which yet upon hearing they are apt to excite in us.",Locke,Essay Concerning Human Understanding,89516
"How many times, moreover, have I noticed that under extremely dissimilar appearances one exceptional trait was developing. '.",Beauvoir,The Second Sex,348967
"Resemblance and contiguity are relations not to be neglected; especially when by an inference from cause and effect, and by the observation of external signs, we are informed of the real existence of the object, which is resembling or contiguous.",Hume,A Treatise Of Human Nature,99564
"whatever, either in quantity, amount or duration, to those granted or entered upon to morrow or next day, nay, many of today's bills, and credits, when due, fall in with a mass of liabilities whose origins traverse a range of antecedent dates altogether indefinite, bills at months or often aggregating together to swell the common liabilities of one particular day.",Marx,Capital,291896
All along he has been completely unaware that he should never have given Phaedrus his favors to a man who was in love and who therefore had by necessity lost his mind.,Plato,Plato - Complete Works,11673
"So his Mind absurdly aims at the impossible, if it is supposed to wish to separate them, and it is impossible to do so, both in respect of quantity and of quality of quantity, because there is no minimum magnitude, and of quality, because affections are inseparable.",Aristotle,Aristotle - Complete Works,45212
"This new configuration may, I suppose, be called 'rationalism'; one might say, if one's mind is filled with ready made concepts, that the seventeenth century marks the disappearance of the old superstitious or magical beliefs and the entry of nature, at long last, into the scientific order.",Foucault,The Order Of Things,196861
Therefore it is eternal; for things that are of necessity in the unqualified sense are all eternal; and things that are eternal are ungenerated and imperishable.,Aristotle,Aristotle - Complete Works,75959
"a phenomenon which embraces the whole problem of the presence of the object, is equally obscured by empiricist philosophy, which treats this covered part of the background as invisible (in virtue of a physiological definition of vision) and brings it down to the status of a mere sensible quality by supposing that it is provided by an image, that is, by a watered down sensation.",Merleau-Ponty,The Phenomenology Of Perception,219828
"This Knowing is the inbreathing of the Spirit, whereby Substance becomes Subject, by which its abstraction. and.",Hegel,The Phenomenology Of Spirit,284788
"We are not, then reducing the significance of the word, or even of the percept, to a collection of 'bodily sensations' but we are saying that the body, in so far as it has 'behaviour patterns', is that strange object which uses its own parts as a general system of symbols for the world, and through which we can consequently 'be at home in' that world, 'understand' it and find significance in it.",Merleau-Ponty,The Phenomenology Of Perception,223218
are they included one in the other; for neither is acting making nor is making acting.,Aristotle,Aristotle - Complete Works,75968
"And he that designedly does it, ought to be looked on as an enemy to truth and knowledge.",Locke,Essay Concerning Human Understanding,93788
"And so actuality, in that from which it is distinguished, in possibility, is identical with itself.",Hegel,Science Of Logic,274148
"If practical reason may assume and think as given nothing further than what speculative reason by itself has been able to offer it from its own insight, then the latter has primacy.",Kant,Critique Of Practical Reason,249647
"Towards the end of Brant's poem, an entire chapter is taken over with the apocalyptic theme of the Antichrist; a terrible storm carries away the ship of fools on a senseless course that is identical to the End of the World.",Foucault,History Of Madness,188329
Something of my worry can be given by the description 'the tallest living knight in England'.,Kripke,Philosophical Troubles,179489
"In the counties of Cambridge and Suffolk, for example, the area of cultivated land has extended very much within the last years (up to, while in the same period the rural population has diminished, not only relatively, but absolutely.",Marx,Capital,297627
"It seems to me to be a considerable objection to Nozick's conditions, if they make such basic cases very problematic.",Kripke,Philosophical Troubles,179367
"The causal role identity theorist holds that is a brain state, that the fact that is a pain is to be analyzed (roughly) as the fact that is produced by certain stimuli and produces certain behavior.",Kripke,Philosophical Troubles,174281
"that they move by their nature, that they are hard or Elucidations of the Search after fluid by themselves, that they successively change their forms, that they act by their virtues, qualities, faculties, and so on, we use terms signifying nothing, and all these propositions are absolutely false in the sense philosophers give them.",Malebranche,The Search After Truth,128170
"The number of the latter is a proof of the greatness of a city; but a city which produces numerous artisans and comparatively few soldiers cannot be great, for a great city is not the same as a populous one.",Aristotle,Aristotle - Complete Works,82269
"Our previous inquiry already encountered this primordial under standing, but without explicitly taking it up in the theme under consid eration.",Heidegger,Being And Time,235320
"while others, by contrast, fix their minds on the thought that nature has set up no predispositions at all in this matter, and that all dif ferences rest only on external contingency, then I need only consider the constitution of the object in order to comprehend that it lies too deeply hidden for either of them to be able to speak from an insight into the nature of the object. o.",Kant,Critique Of Pure Reason,260646
"For if it is, then the maxim cannot be exhibited in universally legislative form, since then the expectation of the object's existence would be the determining cause of the power of choice, and the dependence of the power of deion some thing's existence would have to be laid at the basis of volition a dependence which can always be sought only in empirical conditions and hence can never provide the basis for a necessary and universal rule.",Kant,Critique Of Practical Reason,248379
Thus in this unusually simple case we can say that a true proposition corresponds to its objective in a formal sense in which a false proposition does not.,Russell,The Analysis Of Mind,133169
"It seems to me that, in what he says about it, he has in his mind some things which are true and others which are false; and I wish to tabulate separately the principal ones which I take to be true, and the principal ones which I take to be false.",Moore,Philosophical Studies,136889
"Again, all affections have their origin in condensation and rarefaction: thus heavy and light, soft and hard, hot and cold, are considered to be forms of density and rarity.",Aristotle,Aristotle - Complete Works,47696
"The endless evolution of new forms is a contradiction, for it would imply eternally increasing energy.",Nietzsche,Twilight Of The Idols,335785
"In their truth, as vanishing moments in the unity of thought, they would have to be taken as a knowing, or as a movement of thought, but not a. s Laws of being.",Hegel,The Phenomenology Of Spirit,280510
"Every commodity, therefore, which is the produce ofdomestic industry, though not immediately taxed itself, becomes dearer in consequence of such taxes, because the labour which produces it becomes so.",Smith,The Wealth Of Nations,313393
"With regard to dogs some doubts are entertained, as some contend that they shed no teeth whatever, and others that they shed the canines only; but it has been observed that they do shed their teeth like man, but that the circumstance escapes notice, owing to the fact that they never shed them until equivalent teeth have grown up under them.",Aristotle,Aristotle - Complete Works,55860
"To satisfy this genius of men, women are made systematically voluptuous, and though they may not all carry their libertinism to the same height, yet this heartless intercourse with the sex, which they allow themselves, depraves both sexes, because the taste of men is vitiated; and women, of all classes, naturally square their behaviour to gratify the taste by which they obtain pleasure and power.",Wollstonecraft,Vindication Of The Rights Of Woman,344015
The epistemological difficulties made so noticeable by Hume's fictionalism were overcome precisely through epistemology.,Husserl,The Crisis Of The European Sciences And Phenomenology,229699
"Now, as aggregate expenditure changes, the corresponding expenditure on the products of an individual industry will not, in general, change in the same proportion;partly because individuals will not, as their incomes rise, increase the amount of the products of each separate industry, which they purchase, in the same proportion, and partly because the prices of different commodities will respond in different degrees to increases in expenditure upon them.",Keynes,"A General Theory Of Employment, Interest, And Money",325212
"If the improvement in making wine were of a very important description, it might become profitable for the two countries to exchange employments; for England to make all the wine, and Portugal all the cloth, consumed by them: but this could be effected only by a new distribution of the precious metals, which should raise the price of cloth in England, and lower it in Portugal.",Ricardo,On The Principles Of Political Economy And Taxation,320506
consequently a would be superior knowledge who therefore are all the more resistant to being robbed of the ought.,Hegel,Science Of Logic,268725
"The sovereignty of the monarch is the source of the right to pardon criminals, for only the sovereign is entitled to actualize the power of the spirit to undo what has been done and to nullifY crime by forgiving and forgetting.",Hegel,Elements Of The Philosophy Of Right,289320
"For, first, one can only repre sent a single space, and if one speaks of many spaces, one understands by that only parts of one and the same unique space.",Kant,Critique Of Pure Reason,255140
There is an impertinence in ornaments that rebuffs affection; because love always clings round the idea of home.,Wollstonecraft,Vindication Of The Rights Of Woman,343883
"And of course if he did what's appropriate with respect to human beings, he would be doing what's just, and with respect to gods he would be doing what's pious, and one who does what's just and pious must necessarily be just and pious.",Plato,Plato - Complete Works,19617
"La privation que s'impose le capitalists, en pr tant (this euphemism used, for the purpose of identifying, according to the approved method of vulgar economy, the labourer who is exploited, with the industrial capitalist who exploits, and to whom other capitalists lend money) ses instruments de production au travailleur, au lieu d'en consacrer la valeur son propre usage, en la transforment en objets d'utilit ou d'agriment.",Marx,Capital,300059
"He is at all times, therefore, surrounded with a multitude of retainers and dependants, who, having no equivalent to give in return for their maintenance, but being fed entirely by his bounty, must obey him, for the same reason that soldiers must obey the prince who pays them.",Smith,The Wealth Of Nations,312772
"And just as in other cases the principle is simple, though it is not the same everywhere.",Aristotle,Aristotle - Complete Works,41703
"It became evident that group fantasy was inseparable from the symbolic articulations that define a social field insofar as it is real, whereas the individual fantasy fitted the whole of this field over imaginary givens.",Deleuze,Anti-Oedipus,213913
"All socialists are agreed that the state, and with it political authority, will disappear as the result of the coming social revolution,. e. , that public functions will lose their political character and be transformed into the simple administrative functions of watching over real social interests.",Lenin,Essential Works Of Lenin,307272
"In any ordinary case, a doubt whether there really is a door there will be impossible.",Wittgenstein,On Certainty,184562
"and he is both sick and in health; for it is he who stood up who is standing, and he who was recovering who is in health; but it is the seated man who stood up, and the sick man who was recovering. '.",Aristotle,Aristotle - Complete Works,44365
"So it was for instance that the insane were barred entry to churches, while ecclesiastical law allowed them to partake of the sacraments.",Foucault,History Of Madness,188082
"The price which he pays must always be the same, whatever may be the quantity of goods which he receives in return for it.",Smith,The Wealth Of Nations,308220
"The boar, if it be well fed, is sexually capable at all hours, night and day; but otherwise is peculiarly salacious early in the morning.",Aristotle,Aristotle - Complete Works,57233
"In these conditions, Article of the decree enunciated the principle that 'no person may practise medicine, or prescribe any remedy, even without payment, if he has not obtained the degree of licencie'; and the text added and this was the fundamental issue and aim achieved by the Faculties of Medicine at the cost of their reorganization '.",Foucault,The Birth Of The Clinic,185978
"If we produce a physical selection corresponding to this case, then different particles will travel with different velocities, because of the spread of the momenta.",Popper,The Logic Of Scientific Discovery,170234
The child lives in a world which he unhesitatingly believes accessible to all around him.,Merleau-Ponty,The Phenomenology Of Perception,225177
"It is clear, however, that prior to the general question of its function for a self evident grounding of the objective sciences there is good reason to ask about the life world's own and constant ontic meaning for the human beings who live in it.",Husserl,The Crisis Of The European Sciences And Phenomenology,228383
The dating carried out in the use of the clock tums out to be the eminent making present of something objectively present.,Heidegger,Being And Time,240704
"A certain stage has maintained with the forgotten, but, in truth, violently erased, stage a secret communication, a certain relationship of betrayal, if to betray is at once to denature through infidelity, but also to let oneself be evinced despite oneself, and to manifest the foundation of force.",Derrida,Writing And Difference,205434
"Doesn't the one who remains undiscovered become even more vicious, while the bestial part of the one who is discovered is calmed and tamed and his gentle part freed, so that his entire soul settles into its best nature, acquires moderation, justice, and reason, and attains a more valuable state than that of having a fine, strong, healthy body, since the soul itself is more valuable than the body?.",Plato,Plato - Complete Works,27360
"sensation being one of those ways whereby the mind comes by its ideas: only I thought it worth while to consider here, by the way, whether the mind doth not receive its idea of active power clearer from reflection on its own operations, than it doth from any external sensation.",Locke,Essay Concerning Human Understanding,90658
